ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Comunidad Valenciana,2016,hombre,60.6,43.2,8.0,26.6,25.8,1.225,10.075,25.5,4.9,36.825,8.274999999999999,13.225,21110.0
Comunidad Valenciana,2016,mujer,73.3,57.4,4.1,26.3,30.7,2.45,11.725,26.65,6.35,31.025,9.3,12.5,21110.0
Comunidad Valenciana,2017,hombre,67.4,43.0,8.5,26.9,27.4,1.075,9.9,24.975,4.875,36.775,8.149999999999999,14.2,21996.0
Comunidad Valenciana,2017,mujer,80.7,58.6,4.1,26.0,30.3,2.475,11.975,27.2,6.425,29.75,8.8,13.350000000000001,21996.0
Comunidad Valenciana,2018,hombre,69.7,41.6,9.0,26.7,26.8,1.175,9.875,26.075000000000003,4.75,36.075,8.025,14.0,22723.0
Comunidad Valenciana,2018,mujer,82.0,57.6,4.1,26.9,28.6,2.125,11.05,29.25,6.65,28.9,9.4,12.575,22723.0
Comunidad Valenciana,2019,hombre,77.8,44.0,9.3,26.5,26.5,0.875,9.725,27.65,3.925,35.75,7.8,14.275,23248.0
Comunidad Valenciana,2019,mujer,87.6,61.9,4.3,26.6,28.7,1.875,10.35,30.25,6.025,29.25,9.775,12.475,23248.0
Comunidad Valenciana,2020,hombre,75.6,40.7,9.0,29.4,31.4,0.875,7.525,29.225,3.975,35.675,8.05,14.75,20980.0
Comunidad Valenciana,2020,mujer,86.1,55.4,4.5,29.5,33.5,1.7,8.524999999999999,30.799999999999997,5.5249999999999995,29.275,10.075,14.0,20980.0
Comunidad Valenciana,2021,hombre,73.9,40.7,8.1,29.1,30.5,0.925,7.675,30.2,3.25,34.8,8.55,14.65,22944.0
Comunidad Valenciana,2021,mujer,83.1,55.8,3.7,29.6,33.7,1.775,9.15,31.0,4.9,30.025,9.675,13.475,22944.0
Comunidad Valenciana,2022,hombre,73.2,41.3,8.1,29.3,32.1,1.0,7.575,29.0,3.35,36.775000000000006,9.1,13.225,24715.0
Comunidad Valenciana,2022,mujer,82.8,54.9,3.9,29.8,34.4,1.775,9.125,31.025,4.85,32.3,9.5,11.375,24715.0
Extremadura,2014,hombre,71.8,46.7,5.1375,26.4,22.8,2.225,12.825,19.45,10.325,39.875,5.775,9.549999999999999,16053.0
Extremadura,2014,mujer,84.9,64.3,5.1375,26.9,24.6,4.475,12.925,20.8,12.875,33.224999999999994,5.9,9.8,16053.0
