ccaa,year,sexo,tasabrutaFP_Media
Extremadura,2014,hombre,26.4
Extremadura,2014,mujer,26.9
Extremadura,2015,hombre,25.1
Extremadura,2015,mujer,26.5
Extremadura,2016,hombre,23.2
Extremadura,2016,mujer,24.6
Extremadura,2017,hombre,23.4
Extremadura,2017,mujer,25.5
Extremadura,2018,hombre,24.5
Extremadura,2018,mujer,24.2
Extremadura,2019,hombre,24.3
Extremadura,2019,mujer,22.9
Extremadura,2020,hombre,30.3
Extremadura,2020,mujer,28.7
Extremadura,2021,hombre,28.1
Extremadura,2021,mujer,25.6
Extremadura,2022,hombre,27.3
Extremadura,2022,mujer,25.9
Galicia,1990,hombre,21.0
Galicia,1990,mujer,20.3
Galicia,1991,hombre,16.2
Galicia,1991,mujer,17.6
Galicia,1992,hombre,17.1
Galicia,1992,mujer,20.0
Galicia,1993,hombre,17.5
Galicia,1993,mujer,22.3
Galicia,1994,hombre,16.0
Galicia,1994,mujer,23.2
Galicia,1995,hombre,16.2
Galicia,1995,mujer,19.6
Galicia,1996,hombre,17.7
Galicia,1996,mujer,18.9
Galicia,1997,hombre,17.4
Galicia,1997,mujer,18.5
Galicia,1998,hombre,21.8
Galicia,1998,mujer,19.8
Galicia,1999,hombre,8.4
Galicia,1999,mujer,9.7
Galicia,2000,hombre,9.5
Galicia,2000,mujer,10.5
Galicia,2001,hombre,15.0
Galicia,2001,mujer,14.8
Galicia,2002,hombre,19.7
Galicia,2002,mujer,18.1
Galicia,2003,hombre,19.7
Galicia,2003,mujer,19.5
Galicia,2004,hombre,19.8
Galicia,2004,mujer,19.9
Galicia,2005,hombre,20.2
Galicia,2005,mujer,19.2
Galicia,2006,hombre,18.2
Galicia,2006,mujer,19.6
Galicia,2007,hombre,18.5
Galicia,2007,mujer,19.2
Galicia,2008,hombre,21.2
Galicia,2008,mujer,19.1
Galicia,2009,hombre,20.0
Galicia,2009,mujer,19.8
Galicia,2010,hombre,20.2
Galicia,2010,mujer,20.7
Galicia,2011,hombre,25.2
Galicia,2011,mujer,22.4
Galicia,2012,hombre,27.9
Galicia,2012,mujer,26.7
Galicia,2013,hombre,32.2
Galicia,2013,mujer,28.2
Galicia,2014,hombre,32.9
Galicia,2014,mujer,31.0
Galicia,2015,hombre,33.2
Galicia,2015,mujer,29.5
Galicia,2016,hombre,30.8
Galicia,2016,mujer,27.8
Galicia,2017,hombre,28.2
Galicia,2017,mujer,27.2
Galicia,2018,hombre,29.5
