ccaa,year,sexo,tasa_bruta_bach
Extremadura,2020,hombre,48.4
Extremadura,2020,mujer,65.4
Extremadura,2021,hombre,49.2
Extremadura,2021,mujer,67.5
Extremadura,2022,hombre,51.3
Extremadura,2022,mujer,67.3
Galicia,1990,hombre,27.9
Galicia,1990,mujer,38.0
Galicia,1991,hombre,27.6
Galicia,1991,mujer,37.5
Galicia,1992,hombre,28.9
Galicia,1992,mujer,39.7
Galicia,1993,hombre,29.3
Galicia,1993,mujer,43.1
Galicia,1994,hombre,31.5
Galicia,1994,mujer,45.8
Galicia,1995,hombre,32.4
Galicia,1995,mujer,48.0
Galicia,1996,hombre,33.2
Galicia,1996,mujer,48.7
Galicia,1997,hombre,33.5
Galicia,1997,mujer,49.3
Galicia,1998,hombre,36.4
Galicia,1998,mujer,52.2
Galicia,1999,hombre,35.9
Galicia,1999,mujer,49.9
Galicia,2000,hombre,42.6
Galicia,2000,mujer,56.4
Galicia,2001,hombre,37.5
Galicia,2001,mujer,57.5
Galicia,2002,hombre,36.9
Galicia,2002,mujer,58.1
Galicia,2003,hombre,40.3
Galicia,2003,mujer,61.6
Galicia,2004,hombre,41.5
Galicia,2004,mujer,61.3
Galicia,2005,hombre,40.2
Galicia,2005,mujer,63.1
Galicia,2006,hombre,45.1
Galicia,2006,mujer,66.0
Galicia,2007,hombre,44.1
Galicia,2007,mujer,65.3
Galicia,2008,hombre,42.6
Galicia,2008,mujer,61.7
Galicia,2009,hombre,42.3
Galicia,2009,mujer,62.5
Galicia,2010,hombre,45.1
Galicia,2010,mujer,62.9
Galicia,2011,hombre,48.5
Galicia,2011,mujer,66.5
Galicia,2012,hombre,52.3
Galicia,2012,mujer,67.3
Galicia,2013,hombre,50.3
Galicia,2013,mujer,68.6
Galicia,2014,hombre,51.4
Galicia,2014,mujer,69.3
Galicia,2015,hombre,54.4
Galicia,2015,mujer,71.4
Galicia,2016,hombre,53.8
Galicia,2016,mujer,70.3
Galicia,2017,hombre,52.3
Galicia,2017,mujer,69.3
Galicia,2018,hombre,53.1
Galicia,2018,mujer,70.3
