ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2022,29.9
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2022,11.025
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2022,12.825
Aragon,mujer,Analfabetos,2022,1.075
Aragon,mujer,Educación primaria,2022,16.075
Aragon,mujer,Educación superior,2022,33.475
Aragon,mujer,Estudios primarios incompletos,2022,2.7750000000000004
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2022,25.275
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2022,8.975
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2022,12.325
Aragon,hombre,Analfabetos,2023,0.575
Aragon,hombre,Educación primaria,2023,10.6
Aragon,hombre,Educación superior,2023,32.775
Aragon,hombre,Estudios primarios incompletos,2023,2.425
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2023,30.3
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2023,10.950000000000001
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2023,12.375
Aragon,mujer,Analfabetos,2023,0.925
Aragon,mujer,Educación primaria,2023,14.575
Aragon,mujer,Educación superior,2023,33.15
Aragon,mujer,Estudios primarios incompletos,2023,3.125
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2023,27.075
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2023,9.55
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2023,11.625
Aragon,hombre,Analfabetos,2024,0.7
Aragon,hombre,Educación primaria,2024,9.875
Aragon,hombre,Educación superior,2024,31.049999999999997
Aragon,hombre,Estudios primarios incompletos,2024,2.275
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2024,31.674999999999997
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2024,11.75
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2024,12.675
Aragon,mujer,Analfabetos,2024,0.9750000000000001
Aragon,mujer,Educación primaria,2024,14.075
Aragon,mujer,Educación superior,2024,32.75
Aragon,mujer,Estudios primarios incompletos,2024,3.125
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2024,27.45
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2024,9.15
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2024,12.425
Aragon,hombre,Analfabetos,2025,1.025
Aragon,hombre,Educación primaria,2025,10.275
Aragon,hombre,Educación superior,2025,31.075
Aragon,hombre,Estudios primarios incompletos,2025,2.475
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2025,30.625
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2025,10.575
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2025,13.9
Aragon,mujer,Analfabetos,2025,1.0
Aragon,mujer,Educación primaria,2025,14.225
Aragon,mujer,Educación superior,2025,33.25
Aragon,mujer,Estudios primarios incompletos,2025,2.8
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2025,26.4
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2025,8.775
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2025,13.55
Asturias,hombre,Analfabetos,2014,0.6749999999999999
Asturias,hombre,Educación primaria,2014,21.1
Asturias,hombre,Educación superior,2014,30.45
Asturias,hombre,Estudios primarios incompletos,2014,2.85
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2014,25.575
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,7.225
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2014,12.15
Asturias,mujer,Analfabetos,2014,0.675
Asturias,mujer,Educación primaria,2014,24.75
Asturias,mujer,Educación superior,2014,28.75
Asturias,mujer,Estudios primarios incompletos,2014,6.7
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2014,19.825
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,6.875
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2014,12.425
Asturias,hombre,Analfabetos,2015,0.775
Asturias,hombre,Educación primaria,2015,19.425
Asturias,hombre,Educación superior,2015,30.8
Asturias,hombre,Estudios primarios incompletos,2015,3.225
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2015,24.95
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,7.75
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2015,13.05
Asturias,mujer,Analfabetos,2015,0.9
Asturias,mujer,Educación primaria,2015,24.225
Asturias,mujer,Educación superior,2015,30.075
Asturias,mujer,Estudios primarios incompletos,2015,6.0
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2015,19.200000000000003
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,6.65
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2015,13.025
Asturias,hombre,Analfabetos,2016,0.35
Asturias,hombre,Educación primaria,2016,20.25
Asturias,hombre,Educación superior,2016,31.725
Asturias,hombre,Estudios primarios incompletos,2016,2.625
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2016,24.175
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2016,7.75
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2016,13.15
Asturias,mujer,Analfabetos,2016,0.8250000000000001
Asturias,mujer,Educación primaria,2016,25.1
Asturias,mujer,Educación superior,2016,30.725
Asturias,mujer,Estudios primarios incompletos,2016,4.5
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2016,19.275
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2016,6.85
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2016,12.725
Asturias,hombre,Analfabetos,2017,0.525
Asturias,hombre,Educación primaria,2017,17.55
Asturias,hombre,Educación superior,2017,33.35
Asturias,hombre,Estudios primarios incompletos,2017,2.225
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2017,25.7
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2017,7.925
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2017,12.75
Asturias,mujer,Analfabetos,2017,0.95
Asturias,mujer,Educación primaria,2017,23.025
Asturias,mujer,Educación superior,2017,30.950000000000003
Asturias,mujer,Estudios primarios incompletos,2017,3.275
